Breed;Temperament;Origin;Group;Height;Body Length;Weight;Life Expectancy;Price 
Abyssinian Cat;Playful, willful, active, intelligent;Abyssinia (Ethiopia);Medium-sized short-haired;8''-10'';12''-16'';"""8-12""";"""9-13""";$200-$1000
Persian Cat;Sweet, sensitive, playful, charming;Iran;Medium to large long-haired;"8""- 10""";"14""-17""";"""8-15""";"""14-15""";$1300 - $3000
Turkish Angora Cat;Playful, affectionate, intelligent, friendly;Turkey;Small to medium-sized long-haired;"8""- 10""";"12""-15""";"""5-10""";"""15-18""";$1000 - $2000
Oriental Shorthair Cat;Curious, affectionate, easygoing, playful;United Kingdom;Medium-sized short-haired;"8""- 10""";"11""-14""";"""6 - 12""";"""12-15""";$400-$2000
Serengeti Cat;Gentle, outgoing, loyal, playful;United States;Medium-sized short-haired;"8""- 10""";"12""-16""";"""8-15""";"""8-12""";$600 - $2,000
Snowshoe Cat;Loving, curious, family-oriented, vocal;United States;Medium to large short-haired;"9""- 11""";"12""-18""";"""6-12""";"""14-19""";$600 - $1200
Ocicat Cat;Energetic, sociable, inquisitive, affectionate;United States;Medium-to-large short-haired;"9""- 11""";"12""-16""";"""6-15""";"""12-18""";$800-$1,200
Chantilly / Tiffany Cat;Gentle, talkative, sociable, playful;United States;Medium-sized semi-longhair;"8""-10""";"12""-16""";"""8-15 """;"""11-15""";$300-$800
Norwegian Forest Cat;Playful, sweet, family-oriented, affectionate;Norway;Large long-haired;"9""- 12""";"12""-18""";"""12-16""";"""14-16""";$900-$1,500
Asian Semi-Longhair Cat;Sweet, sociable, curious, lively;United Kingdom;Medium to large sized medium to long hair;"10""-14""";"12""-16""";"""7-15""";"""12-16""";$700 - $1,200
Birman Cat;Relaxed, affectionate, inquisitive, intelligent;Burma;Medium sized longhair;"8""-11""";"15""-18""";"""6-14""";"""12-16""";$400 - $1,000
Australian Mist Cat;Friendly, playful, affectionate, family oriented;Australia;Medium-sized short-haired;"8.0""-10.0""";12.0''-16.0'';"""7-14""";"""12-16""";$700-$1,000
Himalayan Cat;Gentle, affectionate, family-friendly, sweet;United States;Medium-sized longhair;"12""-14""";"12""-16""";"""7-12 """;"""12-15""";$200-$3,000
Aegean Cat;Affectionate, social, playful, intelligent;Greece;Medium-sized short-haired;"8""-10""";12''-16'';"""7-10""";"""9-12 """;$300-$500
